Date.sampled,Date.measured,Plot,Individual,replicate,organ,length,width,number,FM,image,DM,Comment
12.08.2020,13.08.2020,Nl_55,1,b,leaf,NA,NA,1,370.35,11,106.51,
12.08.2020,13.08.2020,Nl_55,1,c,leaf,NA,NA,1,341.09,12,92.67,
12.08.2020,13.08.2020,Nl_55,1,d,stem,29.25,2.62,1,101.84,NA,37.84,
12.08.2020,13.08.2020,Nl_55,2,a,leaf,NA,NA,1,462.7,13,131.64,
12.08.2020,13.08.2020,Nl_55,2,b,leaf,NA,NA,1,434.31,14,133.48,
12.08.2020,13.08.2020,Nl_55,2,c,leaf,NA,NA,1,354.43,15,107.92,
12.08.2020,13.08.2020,Nl_55,2,d,stem,20.78,1.79,1,40.3,NA,14.7,
12.08.2020,13.08.2020,Nl_55,3,a,leaf,NA,NA,1,322.83,16,84.32,
12.08.2020,13.08.2020,Nl_55,3,b,leaf,NA,NA,1,310.64,17,79.76,
12.08.2020,13.08.2020,Nl_55,3,c,leaf,NA,NA,1,315.06,18,81.95,
12.08.2020,13.08.2020,Nl_55,3,d,stem,23.34,2.15,1,48.51,NA,16.37,
12.08.2020,13.08.2020,Nl_55,4,a,leaf,NA,NA,1,295.65,19,77.3,
12.08.2020,13.08.2020,Nl_55,4,b,leaf,NA,NA,1,391.47,20,98.52,
12.08.2020,13.08.2020,Nl_55,4,c,leaf,NA,NA,1,199.08,21,51.17,
12.08.2020,13.08.2020,Nl_55,4,d,stem,21.38,1.49,1,30.6,NA,11.15,
12.08.2020,13.08.2020,Nl_55,5,a,leaf,NA,NA,1,418.09,22,110.77,
12.08.2020,13.08.2020,Nl_55,5,b,leaf,NA,NA,1,411.22,23,109.93,
12.08.2020,13.08.2020,Nl_55,5,c,leaf,NA,NA,1,285.35,24,71.13,
12.08.2020,13.08.2020,Nl_55,5,d,stem,28.75,3.64,1,181.74,NA,69.81,
13.08.2020,15.08.2020,Südkreuz,1,a,leaf,NA,NA,1,313.26,25,110.09,looks dry and old + white stuff + irregular and curly
13.08.2020,15.08.2020,Südkreuz,1,b,leaf,NA,NA,1,350.96,26,110.39,looks dry and old + white stuff + irregular and curly
13.08.2020,15.08.2020,Südkreuz,1,c,leaf,NA,NA,1,307.62,27,90.58,looks dry and old + white stuff + irregular and curly
13.08.2020,15.08.2020,Südkreuz,1,d,stem,19.75,1.9,1,48.95,NA,22.75,looks dry and old + white stuff + irregular and curly
13.08.2020,15.08.2020,Südkreuz,3,a,leaf,NA,NA,1,413.34,28,131.85,"fresh, bright, green, flat + cut out black parts + spots of brown"
13.08.2020,15.08.2020,Südkreuz,3,b,leaf,NA,NA,1,315.3,29,91.07,"fresh, bright, green, flat + cut out black parts + spots of brown"
13.08.2020,15.08.2020,Südkreuz,3,c,leaf,NA,NA,1,202.23,30,55.71,"fresh, bright, green, flat + cut out black parts + spots of brown"
13.08.2020,15.08.2020,Südkreuz,3,d,stem,11.76,1.31,1,15.07,NA,6.01,"fresh, bright, green, flat + cut out black parts + spots of brown"
13.08.2020,15.08.2020,Südkreuz,5,a,leaf,NA,NA,1,266.44,31,80.17,"thin, tough and curly"
13.08.2020,15.08.2020,Südkreuz,5,b,leaf,NA,NA,1,359.08,32,103.71,"thin, tough and curly"
13.08.2020,15.08.2020,Südkreuz,5,c,leaf,NA,NA,1,372.79,33,107.65,"thin, tough and curly"
13.08.2020,15.08.2020,Südkreuz,5,d,stem,19.2,1.85,1,41.72,NA,15.71,"thin, tough and curly"
